Rank,Length,Released,BPM,Key,Genre,Label,Date,Track_ID
12,8:05,2020-04-24,133,B min,Techno (Peak Time / Driving / Hard),Armada Music,2020-05-09,
13,7:41,2020-04-03,125,D min,Melodic House & Techno,Knee Deep In Sound,2020-05-09,
14,5:10,2020-04-03,124,D♯ min,House,HouseU,2020-05-09,
15,6:43,2020-04-17,125,C min,Tech House,SOLOTOKO,2020-05-09,
16,5:59,2020-04-10,126,G min,Tech House,All We Have Is Now,2020-05-09,
17,7:18,2020-05-01,128,A♯ maj,House,Defected,2020-05-09,
18,6:15,2020-04-24,124,B min,Tech House,Toolroom,2020-05-09,
19,7:08,2020-03-13,130,E min,Techno (Peak Time / Driving / Hard),Perfekt Groove Recordings,2020-05-09,
20,7:25,2020-04-27,130,A min,Techno (Peak Time / Driving / Hard),Terminal M,2020-05-09,
21,4:55,2020-04-17,87,E min,Drum & Bass,The North Quarter,2020-05-09,
22,5:52,2020-04-03,128,G♯ maj,Tech House,Columbia (Sony),2020-05-09,
23,7:14,2019-12-06,124,A min,Melodic House & Techno,fryhide,2020-05-09,
24,5:53,2020-05-01,127,A♯ maj,Tech House,Trick,2020-05-09,
25,5:38,2020-03-02,125,A min,Funky / Groove / Jackin' House,Cube Recordings,2020-05-09,
26,7:25,2020-03-20,126,A♯ maj,House,Defected,2020-05-09,
27,5:49,2020-04-24,127,A min,Tech House,Sola,2020-05-09,
28,6:07,2020-03-13,128,C♯ min,Techno (Peak Time / Driving / Hard),1605,2020-05-09,
29,6:28,2020-04-17,125,C♯ maj,Tech House,Toolroom,2020-05-09,
30,6:00,2020-03-20,125,F maj,House,Cube Recordings,2020-05-09,
31,5:25,2020-02-28,124,A maj,House,There Was Jack,2020-05-09,
32,4:59,2020-03-02,125,D min,Funky / Groove / Jackin' House,PornoStar Records,2020-05-09,
33,4:34,2020-04-17,88,A min,Drum & Bass,V Recordings,2020-05-09,
34,5:24,2020-04-10,128,A♯ min,Tech House,Etiquette,2020-05-09,
35,6:34,2020-04-10,127,A min,Deep House,Resonance Records,2020-05-09,
36,5:24,2020-04-27,142,E maj,Trance,Damaged Records,2020-05-09,
37,8:03,2020-01-17,123,A♯ maj,Melodic House & Techno,Kontor Records,2020-05-09,
38,7:06,2020-03-27,123,D maj,Melodic House & Techno,Timeless Moment,2020-05-09,
39,5:14,2020-05-01,86,G min,Drum & Bass,Critical Music,2020-05-09,
40,7:37,2020-04-03,124,E min,House,Glasgow Underground,2020-05-09,
41,6:31,2020-03-27,124,A♯ min,House,Toolroom,2020-05-09,
42,5:39,2020-04-27,123,G maj,House,Idol Records,2020-05-09,
43,4:53,2020-04-20,88,C maj,Drum & Bass,Jungle Cakes,2020-05-09,
44,7:43,2020-03-13,123,E maj,Melodic House & Techno,Embassy One,2020-05-09,
45,7:15,2020-04-27,128,A min,Techno (Peak Time / Driving / Hard),Drumcode,2020-05-09,
46,4:31,2020-04-24,87,F min,Drum & Bass,Musical Freedom,2020-05-09,
47,4:53,2020-01-03,126,C min,Funky / Groove / Jackin' House,Omerta,2020-05-09,
48,4:09,2020-05-01,128,G♯ maj,Electro House,STMPD RCRDS,2020-05-09,
49,5:14,2020-02-28,122,F♯ min,Nu Disco / Disco,Music To Dance To Records,2020-05-09,
50,7:11,2020-02-07,130,C♯ min,House,FFRR,2020-05-09,
51,6:57,2020-02-07,130,E maj,Techno (Peak Time / Driving / Hard),Heldeep Records,2020-05-09,
52,5:40,2020-04-03,126,G min,Melodic House & Techno,Afterlife Records,2020-05-09,
53,4:36,2020-02-21,120,A maj,Nu Disco / Disco,Prison Entertainment,2020-05-09,
54,4:56,2019-11-22,125,A min,Tech House,Club Sweat,2020-05-09,
55,3:09,2019-12-13,123,G min,Bass House,Higher Ground (Mad Decent),2020-05-09,
56,6:12,2020-02-07,120,E min,Nu Disco / Disco,Club Sweat,2020-05-09,
57,4:19,2020-02-28,125,D♯ min,House,Ministry of Sound Recordings,2020-05-09,
58,8:00,2019-05-17,124,D min,Melodic House & Techno,Embassy One,2020-05-09,
59,4:11,2019-12-13,125,A♯ min,Funky / Groove / Jackin' House,Next-Gen-Records,2020-05-09,
60,6:13,2019-10-18,125,E min,Tech House,Ultra,2020-05-09,
61,3:48,2020-05-29,121,D♯ min,Dance,UNI/MOTOWN,2020-05-09,
62,5:01,2020-02-07,128,A min,House,Altra Moda,2020-05-09,
63,4:35,2020-04-24,126,F♯ min,Tech House,Techne,2020-05-09,
64,4:15,2020-03-27,123,A maj,Funky / Groove / Jackin' House,Tactical Records,2020-05-09,
65,7:17,2019-12-20,123,A min,Deep House,Stride,2020-05-09,
66,5:44,2020-04-10,123,A min,Dance,Higher Ground (Mad Decent),2020-05-09,
67,5:57,2019-07-05,124,A maj,House,Defected,2020-05-09,
68,5:52,2020-03-25,129,G♯ min,Electronica / Downtempo,Ninja Tune,2020-05-09,
69,5:35,2020-04-24,122,G min,Deep House,I/AM/ME (BMG),2020-05-09,
70,5:33,2020-04-03,126,C min,Melodic House & Techno,Afterlife Records,2020-05-09,
71,5:35,2020-03-30,123,A min,Funky / Groove / Jackin' House,PornoStar Records,2020-05-09,
72,6:46,2019-10-10,124,G♯ min,Progressive House,Loaded Records,2020-05-09,
73,6:23,2020-04-24,127,A min,Minimal / Deep Tech,Solid Grooves Records,2020-05-09,
74,7:20,2020-04-17,121,B min,Progressive House,Multinotes,2020-05-09,
75,8:59,2020-02-24,122,D min,Progressive House,Lost & Found,2020-05-09,
76,5:43,2020-05-01,123,A min,House,Armada Subjekt,2020-05-09,
77,7:12,2020-02-17,130,A min,Techno (Peak Time / Driving / Hard),Drumcode,2020-05-09,
78,5:38,2020-04-10,122,D♯ min,House,Cr2 Records,2020-05-09,
79,8:15,2020-02-07,124,A♯ min,Deep House,Innervisions,2020-05-09,
80,7:55,2020-05-04,122,D min,Melodic House & Techno,Anjunadeep,2020-05-09,
81,5:53,2020-04-10,127,A min,Minimal / Deep Tech,Solid Grooves Raw,2020-05-09,
82,6:41,2020-03-23,132,F maj,Techno (Raw / Deep / Hypnotic),Figure,2020-05-09,
83,6:47,2020-03-13,123,A min,Afro House,Stil Vor Talent,2020-05-09,
84,6:40,2018-07-13,125,G maj,Tech House,Catch & Release,2020-05-09,
85,6:16,2020-03-23,123,E min,Nu Disco / Disco,TRANSA RECORDS,2020-05-09,
86,3:39,2020-05-01,126,G min,Future House,HEXAGON,2020-05-09,
87,4:33,2020-05-08,86,A min,Drum & Bass,Cult.ure,2020-05-09,
88,6:44,2020-03-02,125,C maj,Progressive House,Siona Records,2020-05-09,
89,4:39,2019-10-18,123,C min,Nu Disco / Disco,Prison Entertainment,2020-05-09,
90,6:52,2020-04-10,120,A min,Deep House,TRYBESof,2020-05-09,
91,5:01,2020-04-24,87,F maj,Drum & Bass,DNB Allstars Records,2020-05-09,
92,7:05,2020-02-21,132,F♯ min,Techno (Peak Time / Driving / Hard),AnalyticTrail,2020-05-09,
93,6:45,2020-03-06,128,F min,Melodic House & Techno,Armada Electronic Elements,2020-05-09,
94,6:30,2019-07-14,124,A maj,Nu Disco / Disco,Muzik X Press,2020-05-09,
95,7:52,2020-04-27,128,D♯ maj,Techno (Peak Time / Driving / Hard),Drumcode,2020-05-09,
96,6:40,2020-04-24,138,F maj,Trance,FSOE,2020-05-09,
97,4:40,2020-04-24,125,A min,Tech House,Sink or Swim,2020-05-09,
98,6:00,2020-04-24,128,D min,Tech House,CLNE,2020-05-09,
99,5:12,2020-04-14,175,F min,Drum & Bass,Hospital Records,2020-05-09,
100,6:52,2020-04-03,126,G min,Tech House,Toolroom,2020-05-09,
1,7:44,2020-04-17,122,A min,Melodic House & Techno,RCA Records Label,2020-05-12,
2,7:03,2020-05-01,123,A♯ maj,House,Defected,2020-05-12,
3,7:22,2020-05-01,123,G min,Nu Disco / Disco,Higher Ground (Mad Decent),2020-05-12,
4,5:26,2020-02-21,124,D min,House,HouseU,2020-05-12,
5,6:51,2020-04-03,126,A♯ min,Tech House,Glasgow Underground,2020-05-12,
6,7:17,2020-03-13,124,C♯ maj,House,Different,2020-05-12,
7,5:53,2020-03-27,125,A min,Tech House,Lovejuice Records,2020-05-12,
8,6:22,2020-04-17,125,C min,Tech House,Armada Subjekt,2020-05-12,
9,5:15,2020-04-03,124,A maj,Deep House,SPINNIN' DEEP,2020-05-12,
10,4:33,2020-05-08,86,A min,Drum & Bass,Cult.ure,2020-05-12,
11,5:38,2020-03-31,125,A maj,Tech House,Catch & Release/Astralwerks,2020-05-12,
12,8:05,2020-04-24,133,B min,Techno (Peak Time / Driving / Hard),Armada Music,2020-05-12,
13,5:37,2020-03-26,126,D♯ maj,Tech House,Moon Harbour Recordings,2020-05-12,
14,7:25,2020-04-27,130,A min,Techno (Peak Time / Driving / Hard),Terminal M,2020-05-12,
15,5:15,2020-05-08,87,A min,Drum & Bass,DNB Allstars Records,2020-05-12,
16,5:10,2020-04-03,124,D♯ min,House,HouseU,2020-05-12,
17,6:43,2020-04-17,125,C min,Tech House,SOLOTOKO,2020-05-12,
18,7:18,2020-05-01,128,A♯ maj,House,Defected,2020-05-12,
19,7:41,2020-04-03,125,D min,Melodic House & Techno,Knee Deep In Sound,2020-05-12,
20,5:59,2020-04-10,126,G min,Tech House,All We Have Is Now,2020-05-12,
21,5:25,2020-02-28,124,A maj,House,There Was Jack,2020-05-12,
22,6:15,2020-04-24,124,B min,Tech House,Toolroom,2020-05-12,
23,5:38,2020-03-02,125,A min,Funky / Groove / Jackin' House,Cube Recordings,2020-05-12,
24,6:30,2019-07-14,124,A maj,Nu Disco / Disco,Muzik X Press,2020-05-12,
25,7:14,2019-12-06,124,A min,Melodic House & Techno,fryhide,2020-05-12,
26,5:49,2020-04-24,127,A min,Tech House,Sola,2020-05-12,
27,7:08,2020-03-13,130,E min,Techno (Peak Time / Driving / Hard),Perfekt Groove Recordings,2020-05-12,
28,5:53,2020-05-01,127,A♯ maj,Tech House,Trick,2020-05-12,
29,4:55,2020-04-17,87,E min,Drum & Bass,The North Quarter,2020-05-12,
30,5:52,2020-04-03,128,G♯ maj,Tech House,Columbia (Sony),2020-05-12,
31,4:59,2020-03-02,125,D min,Funky / Groove / Jackin' House,PornoStar Records,2020-05-12,
32,5:55,2020-05-08,175,A♯ maj,Drum & Bass,Dread Recordings,2020-05-12,
33,6:07,2020-03-13,128,C♯ min,Techno (Peak Time / Driving / Hard),1605,2020-05-12,
34,6:28,2020-04-17,125,C♯ maj,Tech House,Toolroom,2020-05-12,
35,7:15,2020-04-27,128,A min,Techno (Peak Time / Driving / Hard),Drumcode,2020-05-12,
36,5:39,2020-04-27,123,G maj,House,Idol Records,2020-05-12,
37,6:00,2020-03-20,125,F maj,House,Cube Recordings,2020-05-12,
38,7:25,2020-03-20,126,A♯ maj,House,Defected,2020-05-12,
39,7:55,2020-05-04,122,D min,Melodic House & Techno,Anjunadeep,2020-05-12,
40,6:34,2020-04-10,127,A min,Deep House,Resonance Records,2020-05-12,
41,5:24,2020-04-10,128,A♯ min,Tech House,Etiquette,2020-05-12,
42,5:14,2020-05-01,86,G min,Drum & Bass,Critical Music,2020-05-12,
43,4:53,2020-04-20,88,C maj,Drum & Bass,Jungle Cakes,2020-05-12,
44,6:36,2020-05-08,126,D min,House,Toolroom,2020-05-12,
45,7:06,2020-03-27,123,D maj,Melodic House & Techno,Timeless Moment,2020-05-12,
46,4:53,2020-01-03,126,C min,Funky / Groove / Jackin' House,Omerta,2020-05-12,
47,4:34,2020-04-17,88,A min,Drum & Bass,V Recordings,2020-05-12,
48,3:48,2020-05-29,121,D♯ min,Dance,UNI/MOTOWN,2020-05-12,
49,8:03,2020-01-17,123,A♯ maj,Melodic House & Techno,Kontor Records,2020-05-12,
50,6:57,2020-02-07,130,E maj,Techno (Peak Time / Driving / Hard),Heldeep Records,2020-05-12,
51,4:36,2020-02-21,120,A maj,Nu Disco / Disco,Prison Entertainment,2020-05-12,
52,4:34,2020-05-08,87,G min,Drum & Bass,Time Is Now / Turno,2020-05-12,
53,7:37,2020-04-03,124,E min,House,Glasgow Underground,2020-05-12,
54,7:43,2020-03-13,123,E maj,Melodic House & Techno,Embassy One,2020-05-12,
55,5:52,2020-03-25,129,G♯ min,Electronica / Downtempo,Ninja Tune,2020-05-12,
56,5:14,2020-02-28,122,F♯ min,Nu Disco / Disco,Music To Dance To Records,2020-05-12,
57,5:43,2020-05-01,123,A min,House,Armada Subjekt,2020-05-12,
58,4:31,2020-04-24,87,F min,Drum & Bass,Musical Freedom,2020-05-12,
59,8:59,2020-02-24,122,D min,Progressive House,Lost & Found,2020-05-12,
60,5:35,2020-04-24,122,G min,Deep House,I/AM/ME (BMG),2020-05-12,
61,5:24,2020-04-27,142,E maj,Trance,Damaged Records,2020-05-12,
62,6:31,2020-03-27,124,A♯ min,House,Toolroom,2020-05-12,
63,8:00,2019-05-17,124,D min,Melodic House & Techno,Embassy One,2020-05-12,
64,5:35,2020-03-30,123,A min,Funky / Groove / Jackin' House,PornoStar Records,2020-05-12,
65,3:09,2019-12-13,123,G min,Bass House,Higher Ground (Mad Decent),2020-05-12,
66,6:46,2019-10-10,124,G♯ min,Progressive House,Loaded Records,2020-05-12,
67,4:40,2020-04-24,125,A min,Tech House,Sink or Swim,2020-05-12,
68,7:17,2019-12-20,123,A min,Deep House,Stride,2020-05-12,
69,4:09,2020-05-01,128,G♯ maj,Electro House,STMPD RCRDS,2020-05-12,
70,5:40,2020-04-03,126,G min,Melodic House & Techno,Afterlife Records,2020-05-12,
71,4:56,2019-11-22,125,A min,Tech House,Club Sweat,2020-05-12,
72,6:13,2019-10-18,125,E min,Tech House,Ultra,2020-05-12,
73,3:39,2020-05-01,126,G min,Future House,HEXAGON,2020-05-12,
74,6:47,2020-03-13,123,A min,Afro House,Stil Vor Talent,2020-05-12,
75,7:11,2020-02-07,130,C♯ min,House,FFRR,2020-05-12,
76,5:33,2020-04-03,126,C min,Melodic House & Techno,Afterlife Records,2020-05-12,
77,5:54,2020-04-03,126,C min,Minimal / Deep Tech,Rawsome Deep,2020-05-12,
78,4:15,2020-03-27,123,A maj,Funky / Groove / Jackin' House,Tactical Records,2020-05-12,
79,6:12,2020-02-07,120,E min,Nu Disco / Disco,Club Sweat,2020-05-12,
80,4:11,2019-12-13,125,A♯ min,Funky / Groove / Jackin' House,Next-Gen-Records,2020-05-12,
81,8:15,2020-02-07,124,A♯ min,Deep House,Innervisions,2020-05-12,
82,4:35,2020-04-24,126,F♯ min,Tech House,Techne,2020-05-12,
83,4:19,2020-02-28,125,D♯ min,House,Ministry of Sound Recordings,2020-05-12,
84,5:01,2020-02-07,128,A min,House,Altra Moda,2020-05-12,
85,7:05,2020-02-21,132,F♯ min,Techno (Peak Time / Driving / Hard),AnalyticTrail,2020-05-12,
86,5:57,2019-07-05,124,A maj,House,Defected,2020-05-12,
87,6:23,2020-04-24,127,A min,Minimal / Deep Tech,Solid Grooves Records,2020-05-12,
88,7:12,2020-02-17,130,A min,Techno (Peak Time / Driving / Hard),Drumcode,2020-05-12,
89,6:16,2020-03-23,123,E min,Nu Disco / Disco,TRANSA RECORDS,2020-05-12,
90,6:44,2020-03-02,125,C maj,Progressive House,Siona Records,2020-05-12,
91,4:39,2019-10-18,123,C min,Nu Disco / Disco,Prison Entertainment,2020-05-12,
92,6:03,2020-05-01,123,G♯ min,Dance,Universal-Island Records Ltd.,2020-05-12,
93,6:41,2020-03-23,132,F maj,Techno (Raw / Deep / Hypnotic),Figure,2020-05-12,
94,5:01,2020-04-24,87,F maj,Drum & Bass,DNB Allstars Records,2020-05-12,
95,6:40,2018-07-13,125,G maj,Tech House,Catch & Release,2020-05-12,
96,7:52,2020-04-27,128,D♯ maj,Techno (Peak Time / Driving / Hard),Drumcode,2020-05-12,
97,7:18,2020-03-20,123,A min,Deep House,Z Records,2020-05-12,
98,7:15,2020-04-24,124,C min,Melodic House & Techno,Eleatics Records,2020-05-12,
99,6:49,2020-04-23,125,D min,Tech House,Lovejuice Records,2020-05-12,
100,6:52,2020-04-10,120,A min,Deep House,TRYBESof,2020-05-12,
1,5:20,2020-05-15,126,A♯ maj,Tech House,Black Book Records,2020-05-20,
2,7:03,2020-05-01,123,A♯ maj,House,Defected,2020-05-20,
3,7:22,2020-05-01,123,G min,Nu Disco / Disco,Higher Ground (Mad Decent),2020-05-20,
4,7:44,2020-04-17,122,A min,Melodic House & Techno,RCA Records Label,2020-05-20,
5,6:51,2020-04-03,126,A♯ min,Tech House,Glasgow Underground,2020-05-20,
6,5:26,2020-02-21,124,D min,House,HouseU,2020-05-20,
7,5:44,2020-05-15,123,A min,House,Defected,2020-05-20,
8,4:33,2020-05-08,86,A min,Drum & Bass,Cult.ure,2020-05-20,
9,6:36,2020-05-08,126,D min,House,Toolroom,2020-05-20,
10,5:53,2020-03-27,125,A min,Tech House,Lovejuice Records,2020-05-20,
11,7:17,2020-03-13,124,C♯ maj,House,Different,2020-05-20,
12,7:25,2020-04-27,130,A min,Techno (Peak Time / Driving / Hard),Terminal M,2020-05-20,
13,5:15,2020-04-03,124,A maj,Deep House,SPINNIN' DEEP,2020-05-20,
14,6:22,2020-04-17,125,C min,Tech House,Armada Subjekt,2020-05-20,
15,6:52,2020-05-08,128,G♯ maj,Techno (Peak Time / Driving / Hard),1605,2020-05-20,
16,6:43,2020-04-17,125,C min,Tech House,SOLOTOKO,2020-05-20,
17,5:15,2020-05-08,87,A min,Drum & Bass,DNB Allstars Records,2020-05-20,
18,3:13,2020-05-15,175,A♯ min,Drum & Bass,Cult.ure,2020-05-20,
19,5:10,2020-05-15,124,C min,Dance,Ultra,2020-05-20,
20,5:38,2020-03-31,125,A maj,Tech House,Catch & Release/Astralwerks,2020-05-20,
21,5:55,2020-05-08,175,A♯ maj,Drum & Bass,Dread Recordings,2020-05-20,
22,8:03,2020-05-08,124,A min,House,Rekids,2020-05-20,
23,8:05,2020-04-24,133,B min,Techno (Peak Time / Driving / Hard),Armada Music,2020-05-20,
24,7:41,2020-04-03,125,D min,Melodic House & Techno,Knee Deep In Sound,2020-05-20,
25,5:10,2020-04-03,124,D♯ min,House,HouseU,2020-05-20,
26,7:13,2020-05-12,124,A♯ min,Melodic House & Techno,Anjunadeep,2020-05-20,
